"filename", "language", "C++", "YAML", "HTML", "Markdown", "JSON", "Swift", "Dart", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\README.md", "Markdown", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 15, 77
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 5, 12, 70
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\app\google-services.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 11, 1, 50
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
